Object ID,Circularity Factor ,Total Intensity GFP,Mean Intensity GFP,Total Intensity mCherry,Mean Intensity mCherry,Total Intensity Brightfield,Mean Intensity Brightfield,Position ,Area ,Well ,Parent Object ID (Well),Parent Trace ID,R01,strain
9012,1.0514113,1564448.0,2181.9358,2130256.0,2971.0684,40580664.0,56597.855,1,717,7,6,-1,1,1
12114,1.0241011,3259392.0,2000.8545,4434000.0,2721.9153,96171352.0,59037.051,1,1629,8,7,-1,1,1
9107,1.061365,1962672.1,2178.3264,2524048.0,2801.385,50928728.0,56524.672,1,901,7,6,-1,1,1
9927,1.0589704,2164080.0,2242.5701,2928400.0,3034.6113,54417524.0,56391.215,1,965,7,6,-1,1,1
9599,1.0269357,2899040.0,2054.5996,3785264.2,2682.6819,83052976.0,58861.074,1,1411,7,6,-1,1,1
7497,1.0594052,2072160.0,2114.449,2631840.0,2685.551,49924240.0,50943.102,1,980,6,5,-1,1,1
8991,1.1416159,1127472.0,1860.5149,1396720.1,2304.8186,36418108.0,60095.891,1,606,7,6,-1,1,1
9904,1.0535837,2210032.0,1885.6929,3070880.0,2620.2048,70947864.0,60535.719,1,1172,7,6,-1,1,1
11542,1.0634329,896112.0,1986.9446,1442608.0,3198.6873,25338538.0,56183.012,1,451,8,7,-1,1,1
8486,1.097211,1205696.0,2350.2847,1585520.0,3090.6824,28053370.0,54684.934,1,513,6,5,-1,1,1
10158,1.0648746,1222399.9,2259.5193,1544224.0,2854.3882,29882928.0,55236.465,1,541,7,6,-1,1,1
9302,1.0350271,2492288.0,2024.6044,3163376.0,2569.7612,66356256.0,53904.352,1,1231,7,6,-1,1,1
11433,1.0669926,1217264.0,1803.3541,1421136.0,2105.3867,39748876.0,58887.223,1,675,8,7,-1,1,1
7254,1.063376,3479472.0,2051.5754,4011520.0,2365.283,93429928.0,55088.402,1,1696,6,5,-1,1,1
9202,1.0385743,3593744.2,2126.4758,4983056.0,2948.554,101885260.0,60287.141,1,1690,7,6,-1,1,1
9085,1.0378844,2599744.0,2314.999,3748271.8,3337.731,63760880.0,56777.273,1,1123,7,6,-1,1,1
10626,1.0497141,1988176.0,2189.6211,2962832.0,3263.0308,51794404.0,57042.297,1,908,8,7,-1,1,1
9872,1.0409527,2479023.8,2127.9175,3438096.0,2951.1553,68735088.0,59000.078,1,1165,7,6,-1,1,1
7908,1.0471148,1867920.1,2207.9434,2654224.0,3137.3806,49612832.0,58644.012,1,846,6,5,-1,1,1
10164,1.0400163,2740240.0,2217.0227,3298752.2,2668.8933,71882864.0,58157.656,1,1236,7,6,-1,1,1
10591,1.0256114,2768976.0,2099.2996,3899360.0,2956.3003,75357816.0,57132.535,1,1319,8,7,-1,1,1
10468,1.0852466,1560480.0,1882.3643,1774992.0,2141.1243,47742060.0,57589.937,1,829,8,7,-1,1,1
7999,1.0869006,1922240.0,1848.3077,2580384.0,2481.1384,60735036.0,58399.074,1,1040,6,5,-1,1,1
12269,1.0320459,3270240.0,2058.0491,4606256.0,2898.8396,94355720.0,59380.566,1,1589,8,7,-1,1,1
11239,1.046889,1835024.0,2197.6335,2549296.0,3053.0491,49368156.0,59123.539,1,835,8,7,-1,1,1
7366,1.0486076,1681920.0,2207.2441,2187696.0,2870.9922,45144936.0,59245.324,1,762,6,5,-1,1,1
9090,1.0166101,3700800.0,1997.1937,4254304.0,2295.9006,104615550.0,56457.395,1,1853,7,6,-1,1,1
7423,1.091995,3324992.0,2079.4197,4174752.0,2610.8518,86896056.0,54344.0,1,1599,6,5,-1,1,1
11024,1.0689946,1739936.0,2150.7244,2829600.0,3497.6514,46445412.0,57410.895,1,809,8,7,-1,1,1
